key,name,low,typical,high,species,emergency_note,source_url,last_reviewed
physical_exam,Wellness physical (annual),80,150,300,any,,https://www.aaha.org/aaha-guidelines/2019-aaha-canine-life-stage-guidelines/,2026-05
vaccines,Core vaccines (annual),80,200,400,any,,https://www.carecredit.com/vetmed/costs/,2026-05
dental_cleaning,Dental cleaning,200,600,1200,any,,https://avdc.org/,2026-05
microchip,Microchip insertion,25,60,150,any,,https://www.carecredit.com/vetmed/costs/,2026-05
spay_neuter,Spay / neuter,200,600,1500,any,,https://www.aaha.org/your-pet/pet-owner-education/ask-aaha/spay-neuter/,2026-05
xray,X-ray (single view),80,200,500,any,,https://www.acvr.org/,2026-05
ultrasound,Ultrasound,200,500,1000,any,,https://www.acvr.org/,2026-05
blood_work,Blood work / panel,80,250,600,any,,https://www.carecredit.com/vetmed/costs/,2026-05
urinalysis,Urinalysis,50,150,300,any,,https://www.carecredit.com/vetmed/costs/,2026-05
antibiotics,Antibiotic course,30,100,300,any,,https://www.carecredit.com/vetmed/costs/,2026-05
pain_relief,Pain management (week),20,80,200,any,,https://www.carecredit.com/vetmed/costs/,2026-05
thyroid_meds,Thyroid medication (month),15,50,150,any,,https://www.carecredit.com/vetmed/costs/,2026-05
emergency_exam,ER exam (after hours),100,200,400,any,,https://www.carecredit.com/vetmed/costs/,2026-05
wound_repair,Wound / laceration repair,400,1100,2800,any,,https://www.carecredit.com/vetmed/costs/,2026-05
toxin_ingestion,Toxin ingestion treatment,250,1100,4500,any,Call ASPCA Poison Control 888-426-4435 or your nearest ER immediately.,https://www.carecredit.com/vetmed/costs/,2026-05
foreign_object,Foreign object removal,800,3500,8000,any,,https://www.carecredit.com/vetmed/costs/,2026-05
urinary_blockage,Urinary blockage (cat),1200,2800,5500,cat,A blocked male cat is a life-threatening emergency. Go to the ER now.,https://www.carecredit.com/vetmed/costs/,2026-05
broken_bone,Fracture repair,800,3500,7500,any,,https://www.carecredit.com/vetmed/costs/,2026-05
bloat_gdv,Bloat / GDV surgery,1800,5000,10000,dog,Bloat is a surgical emergency. Do not delay.,https://www.carecredit.com/vetmed/costs/,2026-05
parvo,Parvo treatment (puppy),600,2200,6500,dog,Suspected parvo in unvaccinated puppies — call your vet immediately.,https://www.carecredit.com/vetmed/costs/,2026-05
hbc,Hit-by-car trauma,1000,4000,12000,any,,https://www.carecredit.com/vetmed/costs/,2026-05
seizure_workup,Seizure diagnostics,500,1400,3500,any,,https://www.carecredit.com/vetmed/costs/,2026-05
heatstroke,Heatstroke treatment,400,1500,4500,any,"Move to shade, apply cool (not cold) water, drive to ER.",https://www.carecredit.com/vetmed/costs/,2026-05
acl_surgery,ACL/CCL surgery (dog),2000,4500,7500,dog,,https://www.carecredit.com/vetmed/costs/,2026-05
ivdd_surgery,IVDD spinal surgery,3500,7000,12000,dog,,https://www.acvim.org/,2026-05
