slug,species,name,size,grooming,health_risk,purchase_low,purchase_typical,purchase_high,avg_life,notes,source_url,last_reviewed
labrador-retriever,dog,Labrador Retriever,large,1.00,1.10,800,1500,3500,11,Prone to hip/elbow dysplasia and obesity. Healthy weight management saves significant routine-vet cost over a lifetime.,https://www.akc.org/dog-breeds/,2026-05
french-bulldog,dog,French Bulldog,small,1.10,1.55,1500,3500,8000,9,"Brachycephalic — higher rates of respiratory issues, allergies, and C-section births. Insurance is often a strong fit for this breed.",https://www.akc.org/dog-breeds/,2026-05
golden-retriever,dog,Golden Retriever,large,1.10,1.20,500,1200,3500,11,Coat requires regular grooming. Hip dysplasia common. Generally healthy and responsive to vet care.,https://www.akc.org/dog-breeds/,2026-05
german-shepherd,dog,German Shepherd,large,1.05,1.25,500,1000,3000,10,Hip dysplasia is common. High energy requires good nutrition and preventive care.,https://www.akc.org/dog-breeds/,2026-05
bulldog,dog,Bulldog,small,0.90,1.70,1000,3000,8000,8,"Brachycephalic with frequent respiratory, skin, and joint issues. One of the higher-cost breeds.",https://www.akc.org/dog-breeds/,2026-05
maine-coon,cat,Maine Coon,large,1.60,1.30,800,1500,3000,13,Long coat means real grooming costs. Hypertrophic cardiomyopathy (HCM) screening is recommended.,https://cfa.org/breeds/,2026-05
persian,cat,Persian,small,2.00,1.35,500,1200,3500,11,Extensive grooming required to prevent matting. Prone to eye issues and respiratory problems.,https://cfa.org/breeds/,2026-05
siamese,cat,Siamese,small,0.80,1.10,400,800,2000,14,Generally healthy. Low grooming needs. Minimal breed-specific health issues.,https://cfa.org/breeds/,2026-05
ragdoll,cat,Ragdoll,large,1.40,1.15,600,1200,3000,14,Large breed with moderate grooming needs. Generally healthy with good lifespan.,https://cfa.org/breeds/,2026-05
chihuahua,dog,Chihuahua,toy,0.60,1.00,300,800,1500,14,"Small, generally healthy. Dental disease and patellar luxation are the most common cost drivers. Long lifespan spreads costs across more years.",https://www.akc.org/dog-breeds/,2026-05
poodle,dog,Poodle (Standard),large,1.65,1.10,1000,2000,3500,12,Hypoallergenic coat needs professional grooming every 4-8 weeks. Generally healthy compared to other large breeds.,https://www.akc.org/dog-breeds/,2026-05
dachshund,dog,Dachshund,small,0.80,1.30,500,1200,2500,13,"Long-bodied breed with elevated risk of intervertebral disc disease (IVDD). Surgery for severe cases can run $4,000-$8,000.",https://www.akc.org/dog-breeds/,2026-05
rottweiler,dog,Rottweiler,giant,0.90,1.30,1000,2000,3500,9,"Large body, deep chest. Hip/elbow dysplasia, bone cancer risk, and bloat (GDV) are documented. Anesthesia and surgical costs scale with size.",https://www.akc.org/dog-breeds/,2026-05
australian-shepherd,dog,Australian Shepherd,medium,1.30,1.15,700,1400,2500,13,Heavy double coat needs regular brushing. Watch for MDR1 gene mutation affecting drug sensitivity — ask the vet to flag.,https://www.akc.org/dog-breeds/,2026-05
pitbull,dog,Pit Bull / American Staffordshire Terrier,large,0.70,1.10,100,500,1500,12,Generally healthy; skin allergies and ACL tears are most common. Insurance and rental policies sometimes apply breed-specific rules — check before adopting.,https://www.akc.org/dog-breeds/,2026-05
beagle,dog,Beagle,small,0.70,1.05,300,700,1500,13,Generally healthy. Watch obesity (food-driven breed) and ear infections (drop ears).,https://www.akc.org/dog-breeds/,2026-05
boxer,dog,Boxer,large,0.70,1.30,800,1500,2500,11,Cancer-prone breed. Brachycephalic features and cardiac issues (boxer cardiomyopathy) drive lifetime costs up.,https://www.akc.org/dog-breeds/,2026-05
